,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
531,40,58,59,60,54,75,49,67,69,62,74,61
532,25,22,24,27,23,20,21,24,18,33,30,38
533,43,46,31,46,51,46,62,59,52,65,66,75
534,44,27,24,25,38,51,39,48,39,42,39,41
535,8,10,11,15,14,21,180,34,13,14,10,9
536,39,56,30,49,40,48,41,72,50,58,48,63
537,25,26,27,38,48,86,99,96,101,109,95,95
538,69,59,69,61,67,65,71,79,91,75,85,84
539,27,28,28,34,33,30,37,38,44,42,35,40
540,17,14,14,23,20,35,44,48,76,113,98,114
541,78,69,89,103,110,97,89,98,102,107,90,90
542,65,53,73,70,65,58,69,68,63,69,69,64
543,48,54,52,49,39,51,42,51,48,51,55,47
544,31,26,39,30,49,53,55,66,81,83,86,124
545,37,28,51,53,64,62,76,91,110,92,96,105
546,26,19,25,22,31,20,24,30,23,28,21,29
547,0,1,3,2,11,16,41,49,46,71,82,84
548,4,13,14,26,36,50,61,68,73,79,62,78
549,437,453,412,441,427,473,503,499,479,506,518,541
550,39,28,25,29,37,30,35,38,20,26,22,19
551,65,56,72,77,52,56,59,60,58,54,45,39
552,58,41,57,55,46,44,46,46,45,42,51,41
553,30,26,12,24,41,31,29,38,21,39,36,34
554,21,33,32,50,61,74,86,91,94,119,133,159
555,25,22,39,36,42,43,68,45,49,55,62,56
556,82,79,66,97,94,100,95,92,82,84,84,95
557,7,8,7,22,22,25,36,47,59,50,49,61
558,9,8,11,7,14,23,18,21,21,29,15,16
559,30,32,43,29,37,52,39,47,47,55,61,67
560,239,256,276,361,375,445,465,557,549,592,659,638
561,126,98,84,107,101,98,126,91,105,111,135,118
562,36,37,21,32,33,34,27,24,27,22,23,23
563,74,73,56,61,44,52,47,58,51,46,35,41
564,170,124,134,147,136,148,172,195,172,179,184,172
565,57,68,67,78,85,81,67,90,80,95,115,108
566,10,6,6,10,14,6,12,17,7,13,9,16
567,94,91,97,109,106,95,104,106,111,123,119,149
568,46,49,57,44,61,67,68,72,64,60,56,67
569,11,5,16,18,18,18,31,52,91,215,348,469
570,57,56,72,79,80,85,94,100,112,113,100,144
571,22,14,36,50,54,53,62,70,69,60,58,74
572,30,43,33,34,52,44,45,62,56,54,50,69
573,39,24,24,27,34,51,59,49,49,74,55,63
574,21,25,22,26,34,27,30,28,45,46,39,50
575,72,64,73,65,72,83,77,70,79,73,79,67
576,19,37,35,40,34,47,46,62,54,50,57,50
577,52,38,46,56,43,58,60,50,77,50,56,56
578,32,22,37,41,44,40,57,68,64,75,56,75
579,56,45,49,48,62,43,61,60,45,60,46,51
580,278,277,225,234,295,277,302,327,301,335,336,314
581,53,45,36,49,48,41,29,41,37,29,39,35
582,18,12,11,16,14,14,17,17,11,17,14,22
583,2,1,2,1,3,6,3,2,6,5,3,4
584,33,34,34,38,45,52,54,48,75,62,70,73
585,0,0,0,0,1,2,2,5,3,4,5,2
586,8,10,6,7,11,4,6,1,2,2,5,3
587,0,0,0,0,0,0,0,0,0,0,0,0
588,48,31,28,26,33,35,32,30,40,31,36,31
589,0,0,0,1,0,1,0,0,1,2,2,0
590,1,1,0,2,0,1,1,2,1,3,2,2
591,28,45,41,44,38,42,30,44,42,41,41,34
592,0,0,0,0,0,0,0,0,0,1,0,0
593,24,11,25,27,23,26,24,23,21,20,20,26
594,83,69,71,77,89,75,67,87,81,57,56,65
595,1,1,2,4,7,6,3,10,6,4,3,4
596,3,3,7,4,9,11,6,7,16,10,7,8
597,37,19,29,28,29,20,31,29,30,26,34,33
598,18,18,20,19,24,37,41,46,38,51,33,38
599,106,96,98,119,115,93,91,116,101,112,95,101
600,0,0,0,1,0,0,0,0,0,0,0,0
601,1,0,3,2,2,1,2,4,4,3,4,5
602,8,8,8,13,10,11,10,10,16,14,8,13
603,30,31,16,17,15,12,17,20,12,8,6,5
604,2,1,7,8,6,14,14,13,29,18,23,29
605,97,127,95,109,112,106,89,107,109,101,103,108
606,4,3,5,2,5,6,6,5,2,4,3,6
607,0,0,0,0,0,0,0,0,0,0,0,0
608,22,21,17,34,28,40,38,50,48,49,55,51
609,11,5,11,12,8,13,10,6,4,7,4,4
610,0,1,0,1,0,1,0,1,1,0,0,1
611,0,1,0,0,2,0,0,2,1,3,2,1
612,0,1,0,2,2,0,0,0,1,1,1,1
613,1,2,3,3,3,2,5,4,2,3,1,1
614,54,58,68,73,77,95,81,87,87,82,68,74
615,0,1,0,1,0,0,0,1,1,2,2,0
616,0,0,0,0,0,0,0,0,0,0,0,0
617,0,0,0,0,0,0,0,0,1,1,0,3
618,1,5,2,3,2,7,1,3,2,7,2,1
619,3,2,1,1,1,1,3,2,4,1,3,3
620,8,4,5,6,9,9,5,6,9,8,5,5
621,3,1,1,3,3,4,5,5,2,4,6,4
622,26,22,19,24,20,38,26,21,25,22,24,22
623,7,3,3,6,4,2,5,5,5,6,5,8
624,1,1,1,1,3,1,4,3,10,6,7,6
625,1,0,1,2,1,2,1,1,1,2,3,2
626,3,1,1,0,0,1,0,1,0,1,0,0
627,147,167,148,186,207,210,234,239,251,267,287,305
628,3,2,4,6,4,12,10,6,18,9,15,8
629,10,9,7,7,5,6,7,1,5,7,2,6
630,5,6,19,9,16,19,21,27,31,19,22,21
631,51,24,23,30,32,24,30,34,22,28,23,29
632,0,0,0,2,0,0,0,0,0,0,0,1
633,34,25,20,20,14,13,13,16,17,19,28,10
634,0,0,0,0,0,0,0,1,1,0,0,0
635,11,5,4,9,11,10,11,10,10,8,6,7
636,223,265,243,264,275,267,260,340,273,327,284,308
637,0,3,0,0,1,3,3,5,2,7,3,4
638,25,14,17,18,22,19,20,19,19,27,24,18
639,33,52,59,81,87,82,113,111,95,98,104,83
640,0,3,4,2,3,4,4,5,5,8,7,9
641,69,73,84,116,121,118,117,127,138,139,143,145
642,34,17,17,12,13,11,13,8,10,9,11,11
643,33,24,9,22,23,23,25,30,28,30,35,37
644,5,6,10,6,6,5,12,14,11,11,12,10
645,2,1,0,1,3,6,10,7,9,11,12,10
646,25,9,13,12,8,18,13,11,14,11,12,17
647,15,6,6,8,8,10,4,7,12,7,14,10
648,35,29,24,20,31,21,17,23,19,19,16,23
649,5,6,12,11,12,23,28,12,14,7,7,8
650,13,16,12,13,17,10,10,14,16,12,11,9
651,1,4,3,7,6,8,13,13,10,8,9,12
652,2,3,2,4,1,4,4,4,4,4,2,4
653,1,1,1,1,1,1,2,1,1,1,1,0
654,4,5,5,6,8,12,25,26,22,29,21,19
655,60,46,41,38,53,42,47,51,43,43,49,59
656,12,19,11,8,14,12,15,13,16,16,13,7
657,68,60,52,51,72,57,61,60,62,53,60,64
658,114,66,61,75,86,74,93,94,101,97,122,104
659,18,26,22,30,22,25,20,28,31,30,40,26
660,12,14,11,13,12,11,17,18,29,35,27,35
661,15,20,41,35,50,39,47,61,76,70,76,104
662,22,17,18,23,17,15,12,11,9,13,15,13
663,9,6,13,13,25,21,37,37,47,41,52,45
664,12,13,17,14,12,11,8,13,14,6,17,12
665,24,21,28,43,39,53,69,80,63,63,72,64
666,9,10,25,31,33,38,42,38,66,70,58,55
667,19,23,19,15,20,19,25,9,16,14,13,11
668,3,5,3,6,6,8,12,12,7,12,5,8
669,27,20,14,15,23,14,16,8,16,21,12,22
