,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
121,12,10,23,30,15,20,22,20,25,22,22,25
122,1,2,1,1,4,6,3,8,5,3,4,7
123,1,0,0,1,1,0,0,0,0,0,0,1
124,5,5,5,5,4,6,3,7,4,4,2,3
125,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0,0
127,2,2,1,2,3,3,4,3,3,7,4,5
128,2,1,1,2,3,2,3,1,1,0,1,1
129,0,0,0,0,0,0,0,0,0,0,0,0
130,1,2,1,2,2,2,5,2,1,1,3,4
131,10,7,6,8,2,9,11,6,6,5,7,8
132,9,8,7,7,14,6,7,9,5,11,7,5
133,0,0,0,0,0,0,0,0,0,0,0,0
134,17,17,17,14,21,17,18,16,12,20,10,14
135,2,2,7,14,13,6,4,11,12,15,9,17
136,3,2,3,3,4,3,5,7,4,7,3,5
137,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,1,0,0,0,0,1
139,0,0,0,0,0,0,0,0,0,0,0,0
140,5,2,6,3,7,6,7,6,4,3,3,2
141,3,5,4,8,5,6,7,8,6,8,10,6
142,1,0,0,0,0,0,0,0,1,0,0,0
143,17,10,11,23,13,21,27,32,38,39,26,36
144,3,3,3,4,2,3,4,4,7,2,5,11
145,0,0,5,0,4,4,6,8,13,16,14,23
146,12,10,15,15,11,14,20,22,25,18,23,28
147,18,16,8,13,9,10,6,11,8,13,6,10
148,62,61,46,63,54,58,52,53,60,61,55,59
149,2,14,11,8,17,16,10,11,18,19,15,14
150,0,0,4,2,0,3,4,2,5,2,3,2
151,29,30,34,27,30,28,27,39,40,41,46,36
152,1,0,0,0,0,0,0,0,0,0,0,0
153,1,1,2,4,2,3,1,2,2,2,3,2
154,2,1,0,1,4,0,1,2,2,2,2,4
155,1,3,0,0,1,0,0,0,2,0,1,0
156,19,16,13,19,14,19,16,18,11,10,12,12
157,5,1,2,4,5,4,5,1,1,2,3,4
158,4,5,6,7,8,6,4,4,3,3,5,3
159,17,20,16,14,30,30,22,27,37,32,36,20
160,2,1,1,2,1,3,2,3,2,2,2,2
161,26,27,27,26,30,36,34,30,23,28,29,24
162,17,16,13,22,17,16,25,43,15,24,22,19
163,66,86,85,83,83,79,75,70,77,69,62,64
164,13,10,8,9,7,14,16,16,16,17,17,17
165,25,23,20,26,22,24,19,25,24,24,26,17
166,17,19,33,21,27,25,40,38,46,37,43,39
167,26,33,35,24,28,28,36,42,53,65,86,95
168,1,1,1,0,0,0,0,0,1,0,0,0
169,14,22,26,23,24,25,29,37,40,41,28,41
170,19,20,22,24,28,34,30,31,40,31,43,37
171,4,2,3,8,4,8,4,3,4,6,4,3
172,29,28,37,45,47,44,54,65,77,77,56,57
173,16,16,14,17,16,17,16,16,24,25,23,18
174,1,0,1,2,1,2,1,1,0,2,1,3
175,6,5,3,3,2,3,7,4,4,7,3,4
176,29,14,21,16,10,10,14,8,11,6,13,7
177,10,12,12,19,21,16,15,13,18,17,15,16
178,23,24,26,45,42,61,50,75,91,104,110,118
179,10,3,3,3,4,5,6,4,7,4,6,8
180,0,1,0,0,0,0,0,0,0,0,1,0
181,2,0,1,1,2,1,1,3,3,2,1,1
182,13,20,14,20,18,18,26,16,25,15,19,18
183,8,18,21,25,38,27,24,28,48,55,44,77
184,21,18,27,26,35,42,52,55,61,73,75,74
185,17,15,11,14,31,17,14,19,17,20,20,17
186,15,9,10,14,22,16,19,22,21,22,18,12
187,5,4,6,3,10,3,3,4,4,4,4,1
188,2,3,2,8,2,5,6,3,5,8,6,6
189,8,9,5,8,8,8,8,9,10,5,8,11
190,26,26,24,28,32,28,33,40,35,37,24,30
191,67,61,79,79,80,73,71,71,61,56,51,54
192,32,25,34,33,48,52,56,60,54,64,65,68
193,2,4,4,6,8,6,4,7,2,6,3,10
194,4,4,5,5,3,2,6,10,4,6,5,9
195,109,83,84,84,84,75,98,97,119,96,89,89
196,4,9,6,6,6,14,8,7,9,9,9,7
197,15,18,14,19,19,29,20,25,20,24,24,19
198,8,10,18,16,16,18,21,18,18,33,24,22
199,33,35,34,23,43,36,21,34,28,27,24,25
200,4,7,17,17,33,23,39,46,59,88,107,164
201,24,21,25,27,34,25,29,35,33,42,35,36
202,28,36,49,43,48,64,65,57,59,61,58,64
203,18,12,15,16,13,13,22,24,22,25,25,24
204,40,34,46,41,62,52,75,81,104,98,119,118
205,8,12,12,15,12,12,16,23,16,16,10,11
206,13,12,14,20,15,15,23,19,16,19,16,20
207,5,1,5,5,6,8,9,11,6,6,6,9
208,17,12,19,21,11,20,8,20,19,14,18,13
209,16,13,17,15,19,23,19,17,19,22,15,24
210,38,34,37,29,40,45,39,42,39,49,43,50
211,13,14,15,13,15,7,14,22,14,14,10,12
212,2,4,3,6,5,5,5,6,2,2,4,2
213,38,39,37,39,47,38,28,39,33,28,38,31
214,12,26,19,20,23,35,39,29,38,52,55,39
215,71,69,73,61,68,82,75,98,69,74,91,96
216,24,27,26,15,26,23,18,24,21,31,27,28
217,10,12,13,12,26,30,37,44,38,38,30,41
218,30,26,28,38,50,66,67,65,79,117,90,104
219,49,70,57,47,51,50,51,49,50,46,51,51
220,48,52,52,68,95,99,115,101,127,125,120,118
221,19,29,25,32,50,64,68,58,59,64,67,61
222,20,15,14,13,21,17,23,18,21,22,28,26
223,18,7,12,11,10,18,9,13,12,12,17,17
224,18,19,35,42,42,47,61,51,63,52,68,62
225,7,12,10,8,12,12,10,15,17,14,13,8
226,9,15,16,10,17,9,15,19,11,14,18,11
227,17,15,4,7,11,10,10,9,11,14,10,14
228,12,20,15,21,17,18,24,26,29,22,30,30
229,25,32,25,34,39,36,41,35,38,43,49,39
230,24,21,20,29,32,30,39,35,45,39,31,44
231,9,20,9,19,27,20,24,27,21,23,27,30
232,25,24,20,20,29,28,31,28,26,32,34,29
233,43,31,43,37,51,58,75,67,67,52,63,52
234,45,72,68,62,73,69,91,78,62,66,62,76
235,41,41,47,60,36,46,49,54,49,43,54,39
236,21,22,26,32,18,30,36,24,30,22,27,27
237,17,15,15,39,42,69,77,110,94,127,133,136
238,10,10,15,15,25,18,20,20,21,25,23,32
239,7,13,13,21,23,21,23,21,25,20,19,23
240,45,50,52,54,69,72,76,105,107,108,106,104
241,9,3,9,6,5,9,4,10,8,12,12,9
242,22,16,16,22,21,20,22,27,27,26,22,25
243,2,9,6,7,7,6,5,6,15,10,8,10
244,12,16,9,14,15,14,14,18,18,20,22,20
245,20,21,18,21,25,22,29,29,30,27,28,26
246,22,29,28,46,39,42,59,60,45,43,30,30
247,49,39,38,40,33,43,47,48,46,45,47,50
248,23,16,13,11,5,7,16,20,9,14,7,11
249,7,7,6,7,10,10,9,14,19,11,17,12
250,30,33,32,27,27,39,34,37,31,36,39,34
251,9,11,14,16,15,11,10,14,13,15,14,19
252,14,12,9,14,11,15,13,16,18,12,9,15
253,16,14,18,20,21,20,21,28,23,28,34,24
254,96,65,66,81,75,91,81,92,84,88,97,97
255,18,13,15,19,12,16,16,22,15,30,22,24
256,12,11,13,9,11,9,11,14,21,16,12,15
257,25,23,39,37,43,48,55,49,52,57,70,95
258,14,24,22,28,21,23,34,25,30,39,33,25
259,1,0,1,0,0,0,1,3,0,4,2,1
260,7,12,15,11,8,8,11,12,11,16,15,12
261,29,25,40,50,72,82,125,140,143,148,216,216
